"treatment","treatment_label","comparison_id","comparison_label","sample_id","n_compared","mean_similarity"
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_1_3",10,0.644853333
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_2_1",10,0.664980001
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_2_2",10,0.49351
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_3_1",10,0.61842
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_3_2",10,0.578306666
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_3_3",10,0.622230001
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_4_1",10,0.12153
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_4_2",10,0.614576666
"Cop_ctr","Untreated control","within_d16","Within nauplii
(D16)","Cop_ctr_D16_4_3",10,0.617576667
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_1_1",11,0.641184849090909
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_1_2",11,0.673618182727273
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_1_3",11,0.649799999090909
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_2_1",11,0.580042423636364
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_2_2",11,0.628090910909091
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_2_3",11,0.555106060909091
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_3_1",11,0.6925
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_3_2",11,0.670554546363636
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_3_3",11,0.638390910909091
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_4_1",11,0.604387878181818
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_4_2",11,0.671587879090909
"Cop_ctr","Untreated control","within_d21","Within copepodites
(D21)","Cop_ctr_D21_4_3",11,0.622712120909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_1_1",11,0.596657574545455
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_1_2",11,0.608609090909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_1_3",11,0.576066664545455
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_2_1",11,0.588009090909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_2_2",11,0.441403030909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_2_3",11,0.58569394
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_3_1",11,0.582045456363636
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_3_2",11,0.624724240909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_3_3",11,0.576503030909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_4_1",11,0.580624240909091
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_4_2",11,0.491981817272727
"Cop_ctr","Untreated control","within_d24","Within adults
(D24)","Cop_ctr_D24_4_3",11,0.500045454545455
