Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D21;;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D16;Mean Cop_pro_D24;;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_pro_D21;Mean Cop_pro_D24;;
Zotu1530;0.06268;0.1039;88.95;37.9;0.25;;;;;;Zotu1958;0.0704;0.09163;88.85;33.3;53.7;;;;;Zotu352;0.04502;0.07756;89.84;2.25;28.5;;
Zotu2139;0.06214;0.1031;89.05;37.3;0;;;;;;Zotu187;0.06768;0.08809;88.94;0.143;40.8;;;;;Zotu263;0.04449;0.07664;89.92;5.5;27.3;;
Zotu162;0.06131;0.1017;89.15;37.6;0.833;;;;;;Zotu120;0.0672;0.08747;89.03;0.429;40.8;;;;;Zotu532;0.04359;0.07509;89.99;34.2;13.7;;
Zotu86;0.05996;0.09943;89.25;36.1;0.167;;;;;;Zotu1793;0.06631;0.08631;89.11;44.7;13.7;;;;;Zotu56;0.04322;0.07445;90.07;31.6;6.92;;
Zotu528;0.05986;0.09927;89.35;4;39.9;;;;;;Zotu204;0.0656;0.08538;89.2;0.143;39.5;;;;;Zotu1685;0.04132;0.07118;90.14;32.7;17.2;;
Zotu173;0.05966;0.09894;89.45;0.143;35.9;;;;;;Zotu1934;0.06506;0.08468;89.28;39.3;0.25;;;;;Zotu156;0.04113;0.07086;90.21;4.92;26.8;;
Zotu39;0.0596;0.09884;89.55;7.86;41.2;;;;;;Zotu301;0.06405;0.08336;89.37;38.4;0;;;;;Zotu1129;0.04021;0.06927;90.28;26.8;4.75;;
Zotu1045;0.05919;0.09815;89.65;34.3;26.4;;;;;;Zotu2156;0.06351;0.08267;89.45;0.143;38.3;;;;;Zotu1299;0.04012;0.06911;90.35;19.5;30.3;;
Zotu64;0.05837;0.0968;89.74;2.14;37.2;;;;;;Zotu1530;0.06268;0.08158;89.53;37.9;0.25;;;;;Zotu193;0.03986;0.06867;90.41;26.3;2.42;;
Zotu78;0.05817;0.09647;89.84;48.3;19.3;;;;;;Zotu169;0.06248;0.08132;89.61;7.86;42.9;;;;;Zotu370;0.03954;0.06811;90.48;30.4;39.5;;
Zotu1673;0.05653;0.09374;89.93;34;0.0833;;;;;;Zotu823;0.06204;0.08076;89.69;40.1;2.92;;;;;Zotu1492;0.03933;0.06775;90.55;11.4;29.2;;
Zotu1610;0.05615;0.09312;90.03;8.29;41.7;;;;;;Zotu2139;0.062;0.0807;89.77;37.3;0.0833;;;;;Zotu175;0.03778;0.06508;90.62;27.9;27.7;;
Zotu437;0.05605;0.09295;90.12;33.3;19.9;;;;;;Zotu973;0.06187;0.08052;89.85;2.14;38.8;;;;;Zotu371;0.03762;0.0648;90.68;1.42;23.3;;
Zotu1003;0.05565;0.09229;90.21;20.3;39.6;;;;;;Zotu151;0.06111;0.07954;89.93;1;37.5;;;;;Zotu2052;0.03759;0.06476;90.74;2.75;22.4;;
Zotu481;0.05544;0.09193;90.3;0.571;33.8;;;;;;Zotu162;0.06095;0.07934;90.01;37.6;1.33;;;;;Zotu155;0.03725;0.06416;90.81;11.3;21.3;;
Zotu260;0.05403;0.0896;90.39;34.1;2.58;;;;;;Zotu119;0.06075;0.07908;90.09;38.6;3.83;;;;;Zotu236;0.03722;0.06412;90.87;25.8;3.67;;
Zotu16;0.05377;0.08917;90.48;37.3;8.5;;;;;;Zotu2231;0.06018;0.07833;90.17;39.9;4.08;;;;;Zotu308;0.03706;0.06384;90.94;0.917;23;;
Zotu2109;0.05232;0.08677;90.57;42.1;18.1;;;;;;Zotu370;0.05964;0.07763;90.25;4;39.5;;;;;Zotu42;0.03688;0.06353;91;20;23.8;;
Zotu532;0.05075;0.08417;90.65;3.71;34.2;;;;;;Zotu24;0.05915;0.07699;90.32;1;35.6;;;;;Zotu136;0.03688;0.06353;91.06;0.417;21.9;;
Zotu56;0.04986;0.08269;90.74;1.86;31.6;;;;;;Zotu86;0.05899;0.07678;90.4;36.1;0.75;;;;;Zotu154;0.03685;0.06349;91.13;9.5;22.1;;
Zotu617;0.04935;0.08183;90.82;9.57;38.9;;;;;;Zotu562;0.05831;0.0759;90.48;17.7;40.1;;;;;Zotu247;0.0362;0.06237;91.19;25.8;14.3;;
Zotu125;0.04917;0.08154;90.9;30;0.5;;;;;;Zotu2109;0.05766;0.07505;90.55;42.1;13.5;;;;;Zotu188;0.03576;0.06161;91.25;6;26.3;;
Zotu1945;0.04907;0.08137;90.98;7.71;37.1;;;;;;Zotu121;0.05708;0.0743;90.63;34.6;10.8;;;;;Zotu1926;0.03556;0.06125;91.31;22.5;1.17;;
