Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu1217;0;0;100;0;0;;;;Zotu1908;0;0;100;0;0;;;;Zotu1222;0;0;100;0;0;
Zotu1875;0;0;100;0;0;;;;Zotu1452;0;0;100;0;0;;;;Zotu1897;0;0;100;0;0;
Zotu1874;0;0;100;0;0;;;;Zotu1225;0;0;100;0;0;;;;Zotu740;0;0;100;0;0;
Zotu1873;0;0;100;0;0;;;;Zotu1110;0;0;100;0;0;;;;Zotu1446;0;0;100;0;0;
Zotu694;0;0;100;0;0;;;;Zotu1907;0;0;100;0;0;;;;Zotu1895;0;0;100;0;0;
Zotu1872;0;0;100;0;0;;;;Zotu765;0;0;100;0;0;;;;Zotu737;0;0;100;0;0;
Zotu1106;0;0;100;0;0;;;;Zotu1451;0;0;100;0;0;;;;Zotu1445;0;0;100;0;0;
Zotu1051;0;0;100;0;0;;;;Zotu761;0;0;100;0;0;;;;Zotu1221;0;0;100;0;0;
Zotu1871;0;0;100;0;0;;;;Zotu1904;0;0;100;0;0;;;;Zotu1893;0;0;100;0;0;
Zotu1432;0;0;100;0;0;;;;Zotu1903;0;0;100;0;0;;;;Zotu1444;0;0;100;0;0;
Zotu1215;0;0;100;0;0;;;;Zotu1902;0;0;100;0;0;;;;Zotu731;0;0;100;0;0;
Zotu1867;0;0;100;0;0;;;;Zotu1449;0;0;100;0;0;;;;Zotu730;0;0;100;0;0;
Zotu1431;0;0;100;0;0;;;;Zotu1025;0;0;100;0;0;;;;Zotu1443;0;0;100;0;0;
Zotu1866;0;0;100;0;0;;;;Zotu751;0;0;100;0;0;;;;Zotu1220;0;0;100;0;0;
Zotu1430;0;0;100;0;0;;;;Zotu1448;0;0;100;0;0;;;;Zotu728;0;0;100;0;0;
Zotu1214;0;0;100;0;0;;;;Zotu1899;0;0;100;0;0;;;;Zotu1442;0;0;100;0;0;
Zotu1105;0;0;100;0;0;;;;Zotu1222;0;0;100;0;0;;;;Zotu725;0;0;100;0;0;
Zotu1864;0;0;100;0;0;;;;Zotu1897;0;0;100;0;0;;;;Zotu1888;0;0;100;0;0;
Zotu1863;0;0;100;0;0;;;;Zotu737;0;0;100;0;0;;;;Zotu722;0;0;100;0;0;
Zotu674;0;0;100;0;0;;;;Zotu1445;0;0;100;0;0;;;;Zotu1108;0;0;100;0;0;
Zotu672;0;0;100;0;0;;;;Zotu1221;0;0;100;0;0;;;;Zotu1052;0;0;100;0;0;
Zotu1429;0;0;100;0;0;;;;Zotu1109;0;0;100;0;0;;;;Zotu719;0;0;100;0;0;
Zotu1860;0;0;100;0;0;;;;Zotu735;0;0;100;0;0;;;;Zotu1882;0;0;100;0;0;
Zotu667;0;0;100;0;0;;;;Zotu1444;0;0;100;0;0;;;;Zotu1881;0;0;100;0;0;
Zotu666;0;0;100;0;0;;;;Zotu732;0;0;100;0;0;;;;Zotu1439;0;0;100;0;0;
Zotu664;0;0;100;0;0;;;;Zotu730;0;0;100;0;0;;;;Zotu710;0;0;100;0;0;
Zotu1427;0;0;100;0;0;;;;Zotu1443;0;0;100;0;0;;;;Zotu709;0;0;100;0;0;
Zotu1212;0;0;100;0;0;;;;Zotu1220;0;0;100;0;0;;;;Zotu1107;0;0;100;0;0;
Zotu661;0;0;100;0;0;;;;Zotu728;0;0;100;0;0;;;;Zotu1437;0;0;100;0;0;
Zotu1854;0;0;100;0;0;;;;Zotu727;0;0;100;0;0;;;;Zotu1877;0;0;100;0;0;
Zotu1425;0;0;100;0;0;;;;Zotu1442;0;0;100;0;0;;;;Zotu1876;0;0;100;0;0;
Zotu1211;0;0;100;0;0;;;;Zotu1888;0;0;100;0;0;;;;Zotu1436;0;0;100;0;0;
Zotu656;0;0;100;0;0;;;;Zotu723;0;0;100;0;0;;;;Zotu1217;0;0;100;0;0;
Zotu1852;0;0;100;0;0;;;;Zotu722;0;0;100;0;0;;;;Zotu1875;0;0;100;0;0;
Zotu1424;0;0;100;0;0;;;;Zotu1108;0;0;100;0;0;;;;Zotu1874;0;0;100;0;0;
Zotu1851;0;0;100;0;0;;;;Zotu1052;0;0;100;0;0;;;;Zotu1435;0;0;100;0;0;
Zotu650;0;0;100;0;0;;;;Zotu720;0;0;100;0;0;;;;Zotu694;0;0;100;0;0;
Zotu1850;0;0;100;0;0;;;;Zotu1882;0;0;100;0;0;;;;Zotu1872;0;0;100;0;0;
Zotu1103;0;0;100;0;0;;;;Zotu1881;0;0;100;0;0;;;;Zotu1106;0;0;100;0;0;
Zotu649;0;0;100;0;0;;;;Zotu1439;0;0;100;0;0;;;;Zotu1051;0;0;100;0;0;
Zotu647;0;0;100;0;0;;;;Zotu709;0;0;100;0;0;;;;Zotu1871;0;0;100;0;0;
Zotu1849;0;0;100;0;0;;;;Zotu708;0;0;100;0;0;;;;Zotu1432;0;0;100;0;0;
Zotu645;0;0;100;0;0;;;;Zotu1107;0;0;100;0;0;;;;Zotu1215;0;0;100;0;0;
Zotu1847;0;0;100;0;0;;;;Zotu707;0;0;100;0;0;;;;Zotu1867;0;0;100;0;0;
Zotu1421;0;0;100;0;0;;;;Zotu1437;0;0;100;0;0;;;;Zotu1431;0;0;100;0;0;
Zotu1846;0;0;100;0;0;;;;Zotu1877;0;0;100;0;0;;;;Zotu1866;0;0;100;0;0;
Zotu1845;0;0;100;0;0;;;;Zotu1876;0;0;100;0;0;;;;Zotu1430;0;0;100;0;0;
Zotu1420;0;0;100;0;0;;;;Zotu1436;0;0;100;0;0;;;;Zotu1214;0;0;100;0;0;
Zotu637;0;0;100;0;0;;;;Zotu1217;0;0;100;0;0;;;;Zotu1105;0;0;100;0;0;
Zotu1844;0;0;100;0;0;;;;Zotu1875;0;0;100;0;0;;;;Zotu1864;0;0;100;0;0;
Zotu1843;0;0;100;0;0;;;;Zotu698;0;0;100;0;0;;;;Zotu1429;0;0;100;0;0;
Zotu1209;0;0;100;0;0;;;;Zotu1874;0;0;100;0;0;;;;Zotu1860;0;0;100;0;0;
Zotu1023;0;0;100;0;0;;;;Zotu695;0;0;100;0;0;;;;Zotu669;0;0;100;0;0;
Zotu1842;0;0;100;0;0;;;;Zotu694;0;0;100;0;0;;;;Zotu667;0;0;100;0;0;
Zotu1841;0;0;100;0;0;;;;Zotu1872;0;0;100;0;0;;;;Zotu666;0;0;100;0;0;
Zotu1840;0;0;100;0;0;;;;Zotu1434;0;0;100;0;0;;;;Zotu1427;0;0;100;0;0;
Zotu628;0;0;100;0;0;;;;Zotu1216;0;0;100;0;0;;;;Zotu1212;0;0;100;0;0;
Zotu1418;0;0;100;0;0;;;;Zotu1106;0;0;100;0;0;;;;Zotu1104;0;0;100;0;0;
Zotu1208;0;0;100;0;0;;;;Zotu1051;0;0;100;0;0;;;;Zotu1857;0;0;100;0;0;
Zotu626;0;0;100;0;0;;;;Zotu1871;0;0;100;0;0;;;;Zotu661;0;0;100;0;0;
Zotu1417;0;0;100;0;0;;;;Zotu1432;0;0;100;0;0;;;;Zotu657;0;0;100;0;0;
Zotu620;0;0;100;0;0;;;;Zotu1215;0;0;100;0;0;;;;Zotu1854;0;0;100;0;0;
Zotu1416;0;0;100;0;0;;;;Zotu1868;0;0;100;0;0;;;;Zotu1425;0;0;100;0;0;
Zotu1207;0;0;100;0;0;;;;Zotu1867;0;0;100;0;0;;;;Zotu656;0;0;100;0;0;
Zotu1101;0;0;100;0;0;;;;Zotu1431;0;0;100;0;0;;;;Zotu1852;0;0;100;0;0;
Zotu619;0;0;100;0;0;;;;Zotu1866;0;0;100;0;0;;;;Zotu1424;0;0;100;0;0;
Zotu1834;0;0;100;0;0;;;;Zotu1430;0;0;100;0;0;;;;Zotu651;0;0;100;0;0;
Zotu615;0;0;100;0;0;;;;Zotu1214;0;0;100;0;0;;;;Zotu650;0;0;100;0;0;
Zotu1832;0;0;100;0;0;;;;Zotu1105;0;0;100;0;0;;;;Zotu1850;0;0;100;0;0;
Zotu1414;0;0;100;0;0;;;;Zotu1864;0;0;100;0;0;;;;Zotu1210;0;0;100;0;0;
Zotu1206;0;0;100;0;0;;;;Zotu675;0;0;100;0;0;;;;Zotu649;0;0;100;0;0;
Zotu1830;0;0;100;0;0;;;;Zotu1429;0;0;100;0;0;;;;Zotu646;0;0;100;0;0;
Zotu1413;0;0;100;0;0;;;;Zotu1860;0;0;100;0;0;;;;Zotu1849;0;0;100;0;0;
Zotu609;0;0;100;0;0;;;;Zotu667;0;0;100;0;0;;;;Zotu645;0;0;100;0;0;
Zotu607;0;0;100;0;0;;;;Zotu666;0;0;100;0;0;;;;Zotu1847;0;0;100;0;0;
Zotu1412;0;0;100;0;0;;;;Zotu1427;0;0;100;0;0;;;;Zotu1421;0;0;100;0;0;
Zotu1205;0;0;100;0;0;;;;Zotu1212;0;0;100;0;0;;;;Zotu1846;0;0;100;0;0;
Zotu1828;0;0;100;0;0;;;;Zotu1050;0;0;100;0;0;;;;Zotu1845;0;0;100;0;0;
Zotu602;0;0;100;0;0;;;;Zotu660;0;0;100;0;0;;;;Zotu1420;0;0;100;0;0;
Zotu1411;0;0;100;0;0;;;;Zotu1426;0;0;100;0;0;;;;Zotu637;0;0;100;0;0;
Zotu600;0;0;100;0;0;;;;Zotu657;0;0;100;0;0;;;;Zotu1844;0;0;100;0;0;
Zotu1824;0;0;100;0;0;;;;Zotu1854;0;0;100;0;0;;;;Zotu636;0;0;100;0;0;
Zotu1823;0;0;100;0;0;;;;Zotu1425;0;0;100;0;0;;;;Zotu1843;0;0;100;0;0;
Zotu1821;0;0;100;0;0;;;;Zotu656;0;0;100;0;0;;;;Zotu1209;0;0;100;0;0;
Zotu1409;0;0;100;0;0;;;;Zotu1852;0;0;100;0;0;;;;Zotu1023;0;0;100;0;0;
Zotu1203;0;0;100;0;0;;;;Zotu1424;0;0;100;0;0;;;;Zotu1842;0;0;100;0;0;
Zotu591;0;0;100;0;0;;;;Zotu651;0;0;100;0;0;;;;Zotu1841;0;0;100;0;0;
Zotu1408;0;0;100;0;0;;;;Zotu650;0;0;100;0;0;;;;Zotu628;0;0;100;0;0;
Zotu1819;0;0;100;0;0;;;;Zotu1850;0;0;100;0;0;;;;Zotu1418;0;0;100;0;0;
Zotu585;0;0;100;0;0;;;;Zotu1423;0;0;100;0;0;;;;Zotu1208;0;0;100;0;0;
Zotu1407;0;0;100;0;0;;;;Zotu648;0;0;100;0;0;;;;Zotu626;0;0;100;0;0;
Zotu1202;0;0;100;0;0;;;;Zotu647;0;0;100;0;0;;;;Zotu620;0;0;100;0;0;
Zotu584;0;0;100;0;0;;;;Zotu1849;0;0;100;0;0;;;;Zotu1416;0;0;100;0;0;
Zotu1816;0;0;100;0;0;;;;Zotu645;0;0;100;0;0;;;;Zotu1207;0;0;100;0;0;
Zotu1406;0;0;100;0;0;;;;Zotu1847;0;0;100;0;0;;;;Zotu619;0;0;100;0;0;
Zotu580;0;0;100;0;0;;;;Zotu1421;0;0;100;0;0;;;;Zotu1834;0;0;100;0;0;
Zotu1815;0;0;100;0;0;;;;Zotu1846;0;0;100;0;0;;;;Zotu615;0;0;100;0;0;
Zotu1405;0;0;100;0;0;;;;Zotu1845;0;0;100;0;0;;;;Zotu1832;0;0;100;0;0;
Zotu1201;0;0;100;0;0;;;;Zotu1420;0;0;100;0;0;;;;Zotu1414;0;0;100;0;0;
Zotu1048;0;0;100;0;0;;;;Zotu637;0;0;100;0;0;;;;Zotu1206;0;0;100;0;0;
Zotu1022;0;0;100;0;0;;;;Zotu1844;0;0;100;0;0;;;;Zotu1413;0;0;100;0;0;
Zotu574;0;0;100;0;0;;;;Zotu1843;0;0;100;0;0;;;;Zotu607;0;0;100;0;0;
Zotu1404;0;0;100;0;0;;;;Zotu1209;0;0;100;0;0;;;;Zotu1205;0;0;100;0;0;
Zotu1810;0;0;100;0;0;;;;Zotu1023;0;0;100;0;0;;;;Zotu1100;0;0;100;0;0;
Zotu1200;0;0;100;0;0;;;;Zotu1842;0;0;100;0;0;;;;Zotu1828;0;0;100;0;0;
Zotu1402;0;0;100;0;0;;;;Zotu1841;0;0;100;0;0;;;;Zotu1411;0;0;100;0;0;
Zotu1808;0;0;100;0;0;;;;Zotu628;0;0;100;0;0;;;;Zotu600;0;0;100;0;0;
Zotu1807;0;0;100;0;0;;;;Zotu1418;0;0;100;0;0;;;;Zotu1204;0;0;100;0;0;
Zotu1401;0;0;100;0;0;;;;Zotu1208;0;0;100;0;0;;;;Zotu1824;0;0;100;0;0;
Zotu1099;0;0;100;0;0;;;;Zotu626;0;0;100;0;0;;;;Zotu1823;0;0;100;0;0;
Zotu1806;0;0;100;0;0;;;;Zotu620;0;0;100;0;0;;;;Zotu1821;0;0;100;0;0;
Zotu560;0;0;100;0;0;;;;Zotu1416;0;0;100;0;0;;;;Zotu1409;0;0;100;0;0;
Zotu1400;0;0;100;0;0;;;;Zotu1207;0;0;100;0;0;;;;Zotu1203;0;0;100;0;0;
Zotu1804;0;0;100;0;0;;;;Zotu619;0;0;100;0;0;;;;Zotu589;0;0;100;0;0;
Zotu1803;0;0;100;0;0;;;;Zotu618;0;0;100;0;0;;;;Zotu1408;0;0;100;0;0;
Zotu553;0;0;100;0;0;;;;Zotu1834;0;0;100;0;0;;;;Zotu1819;0;0;100;0;0;
Zotu549;0;0;100;0;0;;;;Zotu1833;0;0;100;0;0;;;;Zotu1407;0;0;100;0;0;
Zotu1399;0;0;100;0;0;;;;Zotu1832;0;0;100;0;0;;;;Zotu1202;0;0;100;0;0;
Zotu1098;0;0;100;0;0;;;;Zotu1414;0;0;100;0;0;;;;Zotu584;0;0;100;0;0;
Zotu1047;0;0;100;0;0;;;;Zotu1206;0;0;100;0;0;;;;Zotu1816;0;0;100;0;0;
Zotu547;0;0;100;0;0;;;;Zotu1413;0;0;100;0;0;;;;Zotu1406;0;0;100;0;0;
Zotu1799;0;0;100;0;0;;;;Zotu607;0;0;100;0;0;;;;Zotu1815;0;0;100;0;0;
Zotu543;0;0;100;0;0;;;;Zotu1205;0;0;100;0;0;;;;Zotu1405;0;0;100;0;0;
Zotu1797;0;0;100;0;0;;;;Zotu1828;0;0;100;0;0;;;;Zotu1048;0;0;100;0;0;
Zotu1397;0;0;100;0;0;;;;Zotu1411;0;0;100;0;0;;;;Zotu1022;0;0;100;0;0;
Zotu1198;0;0;100;0;0;;;;Zotu600;0;0;100;0;0;;;;Zotu576;0;0;100;0;0;
Zotu1796;0;0;100;0;0;;;;Zotu1826;0;0;100;0;0;;;;Zotu574;0;0;100;0;0;
Zotu538;0;0;100;0;0;;;;Zotu1824;0;0;100;0;0;;;;Zotu1404;0;0;100;0;0;
Zotu1396;0;0;100;0;0;;;;Zotu596;0;0;100;0;0;;;;Zotu1810;0;0;100;0;0;
Zotu537;0;0;100;0;0;;;;Zotu1823;0;0;100;0;0;;;;Zotu1402;0;0;100;0;0;
Zotu1395;0;0;100;0;0;;;;Zotu1822;0;0;100;0;0;;;;Zotu1808;0;0;100;0;0;
Zotu1197;0;0;100;0;0;;;;Zotu592;0;0;100;0;0;;;;Zotu1401;0;0;100;0;0;
Zotu1096;0;0;100;0;0;;;;Zotu1821;0;0;100;0;0;;;;Zotu1099;0;0;100;0;0;
Zotu1791;0;0;100;0;0;;;;Zotu1409;0;0;100;0;0;;;;Zotu1806;0;0;100;0;0;
Zotu1394;0;0;100;0;0;;;;Zotu1203;0;0;100;0;0;;;;Zotu1400;0;0;100;0;0;
Zotu529;0;0;100;0;0;;;;Zotu1408;0;0;100;0;0;;;;Zotu1804;0;0;100;0;0;
Zotu1790;0;0;100;0;0;;;;Zotu1819;0;0;100;0;0;;;;Zotu1803;0;0;100;0;0;
Zotu1393;0;0;100;0;0;;;;Zotu1407;0;0;100;0;0;;;;Zotu1802;0;0;100;0;0;
Zotu1789;0;0;100;0;0;;;;Zotu1202;0;0;100;0;0;;;;Zotu553;0;0;100;0;0;
Zotu1788;0;0;100;0;0;;;;Zotu584;0;0;100;0;0;;;;Zotu1098;0;0;100;0;0;
Zotu1392;0;0;100;0;0;;;;Zotu582;0;0;100;0;0;;;;Zotu1047;0;0;100;0;0;
Zotu519;0;0;100;0;0;;;;Zotu1816;0;0;100;0;0;;;;Zotu547;0;0;100;0;0;
Zotu1786;0;0;100;0;0;;;;Zotu1406;0;0;100;0;0;;;;Zotu546;0;0;100;0;0;
Zotu1391;0;0;100;0;0;;;;Zotu1815;0;0;100;0;0;;;;Zotu543;0;0;100;0;0;
Zotu1021;0;0;100;0;0;;;;Zotu1405;0;0;100;0;0;;;;Zotu1797;0;0;100;0;0;
Zotu515;0;0;100;0;0;;;;Zotu1048;0;0;100;0;0;;;;Zotu1397;0;0;100;0;0;
Zotu1390;0;0;100;0;0;;;;Zotu1022;0;0;100;0;0;;;;Zotu1198;0;0;100;0;0;
Zotu1783;0;0;100;0;0;;;;Zotu574;0;0;100;0;0;;;;Zotu1396;0;0;100;0;0;
Zotu1782;0;0;100;0;0;;;;Zotu1404;0;0;100;0;0;;;;Zotu537;0;0;100;0;0;
Zotu1194;0;0;100;0;0;;;;Zotu1811;0;0;100;0;0;;;;Zotu1395;0;0;100;0;0;
Zotu510;0;0;100;0;0;;;;Zotu1810;0;0;100;0;0;;;;Zotu1197;0;0;100;0;0;
Zotu508;0;0;100;0;0;;;;Zotu1403;0;0;100;0;0;;;;Zotu1096;0;0;100;0;0;
Zotu1780;0;0;100;0;0;;;;Zotu1402;0;0;100;0;0;;;;Zotu1791;0;0;100;0;0;
Zotu506;0;0;100;0;0;;;;Zotu1808;0;0;100;0;0;;;;Zotu1394;0;0;100;0;0;
Zotu1779;0;0;100;0;0;;;;Zotu1401;0;0;100;0;0;;;;Zotu529;0;0;100;0;0;
Zotu1388;0;0;100;0;0;;;;Zotu1099;0;0;100;0;0;;;;Zotu1790;0;0;100;0;0;
Zotu1193;0;0;100;0;0;;;;Zotu1806;0;0;100;0;0;;;;Zotu1788;0;0;100;0;0;
Zotu1094;0;0;100;0;0;;;;Zotu1400;0;0;100;0;0;;;;Zotu1392;0;0;100;0;0;
Zotu1778;0;0;100;0;0;;;;Zotu1804;0;0;100;0;0;;;;Zotu519;0;0;100;0;0;
Zotu1777;0;0;100;0;0;;;;Zotu1803;0;0;100;0;0;;;;Zotu1786;0;0;100;0;0;
Zotu1775;0;0;100;0;0;;;;Zotu553;0;0;100;0;0;;;;Zotu1391;0;0;100;0;0;
Zotu1386;0;0;100;0;0;;;;Zotu1800;0;0;100;0;0;;;;Zotu1095;0;0;100;0;0;
Zotu1774;0;0;100;0;0;;;;Zotu1098;0;0;100;0;0;;;;Zotu1021;0;0;100;0;0;
Zotu1773;0;0;100;0;0;;;;Zotu1047;0;0;100;0;0;;;;Zotu515;0;0;100;0;0;
Zotu1385;0;0;100;0;0;;;;Zotu547;0;0;100;0;0;;;;Zotu1390;0;0;100;0;0;
Zotu1772;0;0;100;0;0;;;;Zotu1398;0;0;100;0;0;;;;Zotu514;0;0;100;0;0;
Zotu491;0;0;100;0;0;;;;Zotu1798;0;0;100;0;0;;;;Zotu1783;0;0;100;0;0;
Zotu1771;0;0;100;0;0;;;;Zotu1797;0;0;100;0;0;;;;Zotu1782;0;0;100;0;0;
Zotu1384;0;0;100;0;0;;;;Zotu1397;0;0;100;0;0;;;;Zotu508;0;0;100;0;0;
Zotu1191;0;0;100;0;0;;;;Zotu1198;0;0;100;0;0;;;;Zotu1780;0;0;100;0;0;
Zotu1093;0;0;100;0;0;;;;Zotu1396;0;0;100;0;0;;;;Zotu1779;0;0;100;0;0;
Zotu488;0;0;100;0;0;;;;Zotu537;0;0;100;0;0;;;;Zotu1388;0;0;100;0;0;
Zotu486;0;0;100;0;0;;;;Zotu1395;0;0;100;0;0;;;;Zotu1193;0;0;100;0;0;
Zotu1768;0;0;100;0;0;;;;Zotu1197;0;0;100;0;0;;;;Zotu1094;0;0;100;0;0;
Zotu1381;0;0;100;0;0;;;;Zotu1096;0;0;100;0;0;;;;Zotu1778;0;0;100;0;0;
Zotu1765;0;0;100;0;0;;;;Zotu1791;0;0;100;0;0;;;;Zotu1777;0;0;100;0;0;
Zotu476;0;0;100;0;0;;;;Zotu1394;0;0;100;0;0;;;;Zotu1387;0;0;100;0;0;
Zotu1764;0;0;100;0;0;;;;Zotu529;0;0;100;0;0;;;;Zotu1775;0;0;100;0;0;
Zotu1380;0;0;100;0;0;;;;Zotu1790;0;0;100;0;0;;;;Zotu1386;0;0;100;0;0;
Zotu1092;0;0;100;0;0;;;;Zotu1788;0;0;100;0;0;;;;Zotu1774;0;0;100;0;0;
Zotu1763;0;0;100;0;0;;;;Zotu1392;0;0;100;0;0;;;;Zotu1773;0;0;100;0;0;
Zotu470;0;0;100;0;0;;;;Zotu520;0;0;100;0;0;;;;Zotu1385;0;0;100;0;0;
Zotu1189;0;0;100;0;0;;;;Zotu519;0;0;100;0;0;;;;Zotu1771;0;0;100;0;0;
Zotu1757;0;0;100;0;0;;;;Zotu1786;0;0;100;0;0;;;;Zotu1384;0;0;100;0;0;
Zotu1756;0;0;100;0;0;;;;Zotu1391;0;0;100;0;0;;;;Zotu1093;0;0;100;0;0;
Zotu1377;0;0;100;0;0;;;;Zotu1021;0;0;100;0;0;;;;Zotu488;0;0;100;0;0;
Zotu1188;0;0;100;0;0;;;;Zotu1784;0;0;100;0;0;;;;Zotu1768;0;0;100;0;0;
Zotu1044;0;0;100;0;0;;;;Zotu1390;0;0;100;0;0;;;;Zotu1767;0;0;100;0;0;
Zotu1009;0;0;100;0;0;;;;Zotu514;0;0;100;0;0;;;;Zotu1766;0;0;100;0;0;
Zotu1754;0;0;100;0;0;;;;Zotu1783;0;0;100;0;0;;;;Zotu1381;0;0;100;0;0;
Zotu1753;0;0;100;0;0;;;;Zotu1782;0;0;100;0;0;;;;Zotu1765;0;0;100;0;0;
Zotu1376;0;0;100;0;0;;;;Zotu508;0;0;100;0;0;;;;Zotu1764;0;0;100;0;0;
Zotu1752;0;0;100;0;0;;;;Zotu1780;0;0;100;0;0;;;;Zotu1092;0;0;100;0;0;
Zotu455;0;0;100;0;0;;;;Zotu1779;0;0;100;0;0;;;;Zotu1760;0;0;100;0;0;
Zotu1375;0;0;100;0;0;;;;Zotu1388;0;0;100;0;0;;;;Zotu1189;0;0;100;0;0;
Zotu453;0;0;100;0;0;;;;Zotu1193;0;0;100;0;0;;;;Zotu1757;0;0;100;0;0;
Zotu450;0;0;100;0;0;;;;Zotu1094;0;0;100;0;0;;;;Zotu1756;0;0;100;0;0;
Zotu1748;0;0;100;0;0;;;;Zotu1778;0;0;100;0;0;;;;Zotu462;0;0;100;0;0;
Zotu1186;0;0;100;0;0;;;;Zotu500;0;0;100;0;0;;;;Zotu1377;0;0;100;0;0;
Zotu444;0;0;100;0;0;;;;Zotu1777;0;0;100;0;0;;;;Zotu1188;0;0;100;0;0;
Zotu443;0;0;100;0;0;;;;Zotu1775;0;0;100;0;0;;;;Zotu1044;0;0;100;0;0;
Zotu1371;0;0;100;0;0;;;;Zotu1386;0;0;100;0;0;;;;Zotu1009;0;0;100;0;0;
Zotu1370;0;0;100;0;0;;;;Zotu1774;0;0;100;0;0;;;;Zotu1754;0;0;100;0;0;
Zotu434;0;0;100;0;0;;;;Zotu1773;0;0;100;0;0;;;;Zotu1753;0;0;100;0;0;
Zotu1741;0;0;100;0;0;;;;Zotu1385;0;0;100;0;0;;;;Zotu1376;0;0;100;0;0;
Zotu1043;0;0;100;0;0;;;;Zotu492;0;0;100;0;0;;;;Zotu1752;0;0;100;0;0;
Zotu428;0;0;100;0;0;;;;Zotu1771;0;0;100;0;0;;;;Zotu1375;0;0;100;0;0;
Zotu1737;0;0;100;0;0;;;;Zotu1384;0;0;100;0;0;;;;Zotu448;0;0;100;0;0;
Zotu1368;0;0;100;0;0;;;;Zotu1093;0;0;100;0;0;;;;Zotu1748;0;0;100;0;0;
Zotu1736;0;0;100;0;0;;;;Zotu1770;0;0;100;0;0;;;;Zotu1373;0;0;100;0;0;
Zotu421;0;0;100;0;0;;;;Zotu488;0;0;100;0;0;;;;Zotu1186;0;0;100;0;0;
Zotu1367;0;0;100;0;0;;;;Zotu1768;0;0;100;0;0;;;;Zotu444;0;0;100;0;0;
Zotu420;0;0;100;0;0;;;;Zotu1382;0;0;100;0;0;;;;Zotu443;0;0;100;0;0;
Zotu1734;0;0;100;0;0;;;;Zotu480;0;0;100;0;0;;;;Zotu1371;0;0;100;0;0;
Zotu1366;0;0;100;0;0;;;;Zotu1381;0;0;100;0;0;;;;Zotu1185;0;0;100;0;0;
Zotu1089;0;0;100;0;0;;;;Zotu1765;0;0;100;0;0;;;;Zotu1370;0;0;100;0;0;
Zotu1732;0;0;100;0;0;;;;Zotu1764;0;0;100;0;0;;;;Zotu1741;0;0;100;0;0;
Zotu412;0;0;100;0;0;;;;Zotu1092;0;0;100;0;0;;;;Zotu433;0;0;100;0;0;
Zotu1730;0;0;100;0;0;;;;Zotu1189;0;0;100;0;0;;;;Zotu1184;0;0;100;0;0;
Zotu1364;0;0;100;0;0;;;;Zotu1757;0;0;100;0;0;;;;Zotu1043;0;0;100;0;0;
Zotu1729;0;0;100;0;0;;;;Zotu1756;0;0;100;0;0;;;;Zotu428;0;0;100;0;0;
Zotu457;0;0;100;0;0;;;;Zotu1755;0;0;100;0;0;;;;Zotu1738;0;0;100;0;0;
Zotu1728;0;0;100;0;0;;;;Zotu1377;0;0;100;0;0;;;;Zotu426;0;0;100;0;0;
Zotu459;0;0;100;0;0;;;;Zotu1188;0;0;100;0;0;;;;Zotu1737;0;0;100;0;0;
Zotu1363;0;0;100;0;0;;;;Zotu1044;0;0;100;0;0;;;;Zotu459;0;0;100;0;0;
Zotu1727;0;0;100;0;0;;;;Zotu1009;0;0;100;0;0;;;;Zotu1368;0;0;100;0;0;
Zotu1362;0;0;100;0;0;;;;Zotu460;0;0;100;0;0;;;;Zotu1736;0;0;100;0;0;
Zotu1180;0;0;100;0;0;;;;Zotu1754;0;0;100;0;0;;;;Zotu422;0;0;100;0;0;
Zotu1042;0;0;100;0;0;;;;Zotu459;0;0;100;0;0;;;;Zotu1367;0;0;100;0;0;
Zotu1724;0;0;100;0;0;;;;Zotu1753;0;0;100;0;0;;;;Zotu420;0;0;100;0;0;
Zotu1361;0;0;100;0;0;;;;Zotu1376;0;0;100;0;0;;;;Zotu419;0;0;100;0;0;
Zotu1723;0;0;100;0;0;;;;Zotu1752;0;0;100;0;0;;;;Zotu1366;0;0;100;0;0;
Zotu1360;0;0;100;0;0;;;;Zotu1375;0;0;100;0;0;;;;Zotu1089;0;0;100;0;0;
Zotu1721;0;0;100;0;0;;;;Zotu1187;0;0;100;0;0;;;;Zotu1732;0;0;100;0;0;
Zotu1719;0;0;100;0;0;;;;Zotu1748;0;0;100;0;0;;;;Zotu1730;0;0;100;0;0;
Zotu1718;0;0;100;0;0;;;;Zotu1186;0;0;100;0;0;;;;Zotu1364;0;0;100;0;0;
Zotu1716;0;0;100;0;0;;;;Zotu445;0;0;100;0;0;;;;Zotu1729;0;0;100;0;0;
Zotu1715;0;0;100;0;0;;;;Zotu444;0;0;100;0;0;;;;Zotu1728;0;0;100;0;0;
Zotu1357;0;0;100;0;0;;;;Zotu443;0;0;100;0;0;;;;Zotu1363;0;0;100;0;0;
Zotu1178;0;0;100;0;0;;;;Zotu1371;0;0;100;0;0;;;;Zotu403;0;0;100;0;0;
Zotu1714;0;0;100;0;0;;;;Zotu1370;0;0;100;0;0;;;;Zotu1726;0;0;100;0;0;
