Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D21;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D16;Mean Cop_ctr_D24;;;;Taxon;Av. dissim;Contrib. %;Cumulative %;Mean Cop_ctr_D21;Mean Cop_ctr_D24;
Zotu1945;0.06102;0.07797;91.92;2;38.6;;;;Zotu141;0.07891;0.09492;89.43;7.36;51.3;;;;Zotu704;0.04623;0.08505;89.23;10.6;35.4;
Zotu89;0.06067;0.07751;92;13.6;44.1;;;;Zotu93;0.07749;0.0932;89.53;47.2;0.917;;;;Zotu2254;0.04609;0.08479;89.32;45.7;31.5;
Zotu85;0.06061;0.07743;92.07;23;45.7;;;;Zotu89;0.0772;0.09285;89.62;13.6;57.7;;;;Zotu18;0.04593;0.08449;89.4;2.5;29.1;
Zotu125;0.06024;0.07697;92.15;36.7;1.08;;;;Zotu528;0.07443;0.08953;89.71;1.09;45.8;;;;Zotu188;0.04563;0.08394;89.49;15.7;29.6;
Zotu105;0.05809;0.07422;92.23;13.5;41.6;;;;Zotu2210;0.07117;0.08561;89.79;46.6;7.25;;;;Zotu535;0.04562;0.08394;89.57;46.5;27.4;
Zotu98;0.05764;0.07364;92.3;35.5;1.08;;;;Zotu178;0.07062;0.08494;89.88;1.82;43.1;;;;Zotu71;0.0453;0.08334;89.65;4.5;27.3;
Zotu286;0.05696;0.07277;92.37;6.91;40.8;;;;Zotu236;0.07021;0.08446;89.96;0.455;42.6;;;;Zotu46;0.04488;0.08258;89.74;31.8;24.1;
Zotu1883;0.05471;0.0699;92.44;31.4;10.8;;;;Zotu1077;0.0702;0.08444;90.05;0.727;42.8;;;;Zotu1365;0.04486;0.08253;89.82;32.6;5.67;
Zotu562;0.05433;0.06942;92.51;8.45;39.8;;;;Zotu264;0.06946;0.08354;90.13;41.9;0.25;;;;Zotu55;0.04477;0.08236;89.9;6.25;26.5;
Zotu213;0.05307;0.0678;92.58;37.4;9.58;;;;Zotu1945;0.06944;0.08353;90.22;2;43.7;;;;Zotu562;0.04421;0.08134;89.98;39.8;27.9;
Zotu370;0.05202;0.06646;92.65;1.45;32.7;;;;Zotu228;0.06861;0.08253;90.3;41.6;0.5;;;;Zotu207;0.04069;0.07487;90.06;5.67;27.4;
Zotu1673;0.05107;0.06525;92.71;30.7;0.0833;;;;Zotu31;0.06852;0.08242;90.38;31.5;51.3;;;;Zotu40;0.03975;0.07312;90.13;6.58;23.4;
Zotu152;0.05044;0.06445;92.78;0.818;31.1;;;;Zotu165;0.06851;0.08241;90.46;0.182;41.2;;;;Zotu170;0.03951;0.0727;90.2;23.7;0.75;
Zotu34;0.05037;0.06435;92.84;1.64;31.8;;;;Zotu1379;0.06778;0.08152;90.54;0;40.7;;;;Zotu1922;0.03949;0.07265;90.28;8.92;27.8;
Zotu1917;0.0487;0.06222;92.9;0.364;29.6;;;;Zotu365;0.0677;0.08143;90.63;13.6;53;;;;Zotu259;0.03898;0.07172;90.35;1.33;24.3;
Zotu373;0.04856;0.06204;92.96;29.4;7.17;;;;Zotu246;0.06706;0.08066;90.71;0.182;40.4;;;;Zotu95;0.03806;0.07001;90.42;0;22.8;
Zotu1365;0.04832;0.06174;93.03;3.73;32.6;;;;Zotu1637;0.06653;0.08002;90.79;43.6;5.58;;;;Zotu97;0.03799;0.06988;90.49;4.08;22.9;
Zotu2231;0.04821;0.06159;93.09;29.8;1.17;;;;Zotu202;0.0658;0.07914;90.87;1.27;40.8;;;;Zotu166;0.03764;0.06925;90.56;29.7;7.5;
Zotu1045;0.04725;0.06037;93.15;0.818;29.2;;;;Zotu716;0.06492;0.07809;90.94;42.4;5.67;;;;Zotu74;0.03755;0.06908;90.63;6;22.7;
